Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	Yes	Wendtii_no_pigment_6	60	Left	87.28
Wendtii	Yes	Wendtii_no_pigment_6	70	Left	74.17
Wendtii	Yes	Wendtii_no_pigment_6	80	Left	75.28
Wendtii	Yes	Wendtii_no_pigment_6	90	Left	73.79
Wendtii	Yes	Wendtii_no_pigment_6	100	Left	69.09
Wendtii	Yes	Wendtii_no_pigment_6	110	Left	40.31
Wendtii	Yes	Wendtii_no_pigment_6	120	Left	36.66
Wendtii	Yes	Wendtii_no_pigment_6	130	Left	32.16
Wendtii	Yes	Wendtii_no_pigment_6	140	Left	20.4
Wendtii	Yes	Wendtii_no_pigment_6	150	Left	24.76
Wendtii	Yes	Wendtii_no_pigment_6	160	Left	18.92
Wendtii	Yes	Wendtii_no_pigment_6	170	Left	20.62
Wendtii	Yes	Wendtii_no_pigment_7	0	Left	47.68
Wendtii	Yes	Wendtii_no_pigment_7	10	Left	51.58
Wendtii	Yes	Wendtii_no_pigment_7	20	Left	52.24
Wendtii	Yes	Wendtii_no_pigment_7	30	Left	54.54
Wendtii	Yes	Wendtii_no_pigment_7	40	Left	51.84
Wendtii	Yes	Wendtii_no_pigment_7	50	Left	62.75
Wendtii	Yes	Wendtii_no_pigment_7	60	Left	65.85
Wendtii	Yes	Wendtii_no_pigment_7	70	Left	65.53
Wendtii	Yes	Wendtii_no_pigment_7	80	Left	66.45
Wendtii	Yes	Wendtii_no_pigment_7	90	Left	67.78
Wendtii	Yes	Wendtii_no_pigment_7	100	Left	70.51
Wendtii	Yes	Wendtii_no_pigment_7	110	Left	78.24
Wendtii	Yes	Wendtii_no_pigment_7	120	Left	78.77
Wendtii	Yes	Wendtii_no_pigment_7	130	Left	78.23
Wendtii	Yes	Wendtii_no_pigment_7	140	Left	81.89
Wendtii	Yes	Wendtii_no_pigment_7	150	Left	85.56
Wendtii	Yes	Wendtii_no_pigment_7	160	Left	87.65
Wendtii	Yes	Wendtii_no_pigment_7	170	Left	81.58
Wendtii	Yes	Wendtii_no_pigment_8	0	Left	66.33
Wendtii	Yes	Wendtii_no_pigment_8	10	Left	71.33
Wendtii	Yes	Wendtii_no_pigment_8	20	Left	74.23
Wendtii	Yes	Wendtii_no_pigment_8	30	Left	73.76
Wendtii	Yes	Wendtii_no_pigment_8	40	Left	73.31
Wendtii	Yes	Wendtii_no_pigment_8	50	Left	65.9
Wendtii	Yes	Wendtii_no_pigment_8	60	Left	55.81
Wendtii	Yes	Wendtii_no_pigment_8	70	Left	52.08
Wendtii	Yes	Wendtii_no_pigment_8	80	Left	56.07
Wendtii	Yes	Wendtii_no_pigment_8	90	Left	47.39
Wendtii	Yes	Wendtii_no_pigment_8	100	Left	46.36
Wendtii	Yes	Wendtii_no_pigment_8	110	Left	43.94
Wendtii	Yes	Wendtii_no_pigment_8	120	Left	37.13
Wendtii	Yes	Wendtii_no_pigment_8	130	Left	37.82
Wendtii	Yes	Wendtii_no_pigment_8	140	Left	37.75
Wendtii	Yes	Wendtii_no_pigment_8	150	Left	36.2
Wendtii	Yes	Wendtii_no_pigment_8	160	Left	37.34
Wendtii	Yes	Wendtii_no_pigment_8	170	Left	40.24
Pumila	No	Pumila_1	0	Left	59.51
Pumila	No	Pumila_1	10	Left	62.99
Pumila	No	Pumila_1	20	Left	62.85
Pumila	No	Pumila_1	30	Left	61.1
Pumila	No	Pumila_1	40	Left	60
Pumila	No	Pumila_1	50	Left	56.9
Pumila	No	Pumila_1	60	Left	56
Pumila	No	Pumila_1	70	Left	55.8
Pumila	No	Pumila_1	80	Left	57.8
Pumila	No	Pumila_1	90	Left	56.9
Pumila	No	Pumila_1	100	Left	63.3
Pumila	No	Pumila_1	110	Left	69
Pumila	No	Pumila_1	120	Left	71.5
Pumila	No	Pumila_1	130	Left	64.5
Pumila	No	Pumila_1	140	Left	52.4
Pumila	No	Pumila_1	150	Left	54.6
Pumila	No	Pumila_1	160	Left	46.4
Pumila	No	Pumila_1	170	Left	37.4
Pumila	No	Pumila_2	0	Left	53.65
Pumila	No	Pumila_2	10	Left	50.54
Pumila	No	Pumila_2	20	Left	68.05
Pumila	No	Pumila_2	30	Left	56.37
Pumila	No	Pumila_2	40	Left	66.93
Pumila	No	Pumila_2	50	Left	56.74
Pumila	No	Pumila_2	60	Left	62.78
Pumila	No	Pumila_2	70	Left	62.5
Pumila	No	Pumila_2	80	Left	62.38
Pumila	No	Pumila_2	90	Left	62.43
Pumila	No	Pumila_2	100	Left	69.55
Pumila	No	Pumila_2	110	Left	77.56
Pumila	No	Pumila_2	120	Left	82.65
Pumila	No	Pumila_2	130	Left	73.69
Pumila	No	Pumila_2	140	Left	71.3
Pumila	No	Pumila_2	150	Left	68.25
Pumila	No	Pumila_2	160	Left	63.7
Pumila	No	Pumila_2	170	Left	50.9
Pumila	No	Pumila_3	0	Left	NA
Pumila	No	Pumila_3	10	Left	NA
Pumila	No	Pumila_3	20	Left	NA
Pumila	No	Pumila_3	30	Left	NA
Pumila	No	Pumila_3	40	Left	NA
Pumila	No	Pumila_3	50	Left	NA
Pumila	No	Pumila_3	60	Left	NA
Pumila	No	Pumila_3	70	Left	NA
Pumila	No	Pumila_3	80	Left	NA
Pumila	No	Pumila_3	90	Left	NA
Pumila	No	Pumila_3	100	Left	NA
Pumila	No	Pumila_3	110	Left	NA
Pumila	No	Pumila_3	120	Left	NA
Pumila	No	Pumila_3	130	Left	NA
Pumila	No	Pumila_3	140	Left	NA
Pumila	No	Pumila_3	150	Left	NA
Pumila	No	Pumila_3	160	Left	NA
Pumila	No	Pumila_3	170	Left	NA
Pumila	No	Pumila_4	0	Left	51.34
Pumila	No	Pumila_4	10	Left	56.31
Pumila	No	Pumila_4	20	Left	51.25
Pumila	No	Pumila_4	30	Left	53.78
Pumila	No	Pumila_4	40	Left	54.03
Pumila	No	Pumila_4	50	Left	69.3
Pumila	No	Pumila_4	60	Left	86.44
Pumila	No	Pumila_4	70	Left	85.84
Pumila	No	Pumila_4	80	Left	82.42
Pumila	No	Pumila_4	90	Left	82.87
Pumila	No	Pumila_4	100	Left	80.07
Pumila	No	Pumila_4	110	Left	77.33
Pumila	No	Pumila_4	120	Left	70.41
Pumila	No	Pumila_4	130	Left	63.91
Pumila	No	Pumila_4	140	Left	55.65
Pumila	No	Pumila_4	150	Left	51.28
Pumila	No	Pumila_4	160	Left	47.34
Pumila	No	Pumila_4	170	Left	36.79
Pumila	No	Pumila_5	0	Left	38.59
Pumila	No	Pumila_5	10	Left	45.89
Pumila	No	Pumila_5	20	Left	41.82
Pumila	No	Pumila_5	30	Left	39.32
Pumila	No	Pumila_5	40	Left	50.91
Pumila	No	Pumila_5	50	Left	47.57
Pumila	No	Pumila_5	60	Left	45.53
Pumila	No	Pumila_5	70	Left	33.53
Pumila	No	Pumila_5	80	Left	31.16
Pumila	No	Pumila_5	90	Left	29.83
Pumila	No	Pumila_5	100	Left	30.31
Pumila	No	Pumila_5	110	Left	34.25
Pumila	No	Pumila_5	120	Left	32.97
Pumila	No	Pumila_5	130	Left	46.6
Pumila	No	Pumila_5	140	Left	47.4
Pumila	No	Pumila_5	150	Left	71.32
Pumila	No	Pumila_5	160	Left	60.48
Pumila	No	Pumila_5	170	Left	56.9
Pumila	No	Pumila_6	0	Left	49.89
Pumila	No	Pumila_6	10	Left	48.13
Pumila	No	Pumila_6	20	Left	46.81
Pumila	No	Pumila_6	30	Left	45.49
